gene,transmissibility,n_amplified_cases,n_rows,meets_primary_20,meets_relaxed_10
A1BG,0.020202020202020204,99,99,True,True
A2M,0.014705882352941176,136,136,True,True
AAAS,0.6846846846846847,111,111,True,True
AACS,0.5824175824175825,91,91,True,True
AAGAB,0.7457627118644068,59,59,True,True
AAK1,0.2066115702479339,121,121,True,True
AAMDC,0.09473684210526316,95,95,True,True
AAMP,0.6265060240963856,83,83,True,True
AAR2,0.695364238410596,151,151,True,True
AARS,0.7628865979381443,97,97,True,True
AARS2,0.5188679245283019,106,106,True,True
AARSD1,0.6728971962616822,107,107,True,True
AASDHPPT,0.5342465753424658,73,73,True,True
AASS,0.09359605911330049,203,203,True,True
AATF,0.9326923076923077,104,104,True,True
ABAT,0.14814814814814814,108,108,True,True
ABCA8,0.024793388429752067,121,121,True,True
ABCB1,0.04035874439461883,223,223,True,True
ABCB10,0.4230769230769231,182,182,True,True
ABCB6,0.4691358024691358,81,81,True,True
ABCB8,0.1782178217821782,202,202,True,True
ABCC1,0.6952380952380952,105,105,True,True
ABCC3,0.4838709677419355,124,124,True,True
ABCC4,0.19117647058823528,68,68,True,True
ABCD3,0.29508196721311475,61,61,True,True
ABCD4,0.26506024096385544,83,83,True,True
ABCE1,0.8333333333333334,54,54,True,True
ABCF1,0.8421052631578947,95,95,True,True
ABCF2,0.7425742574257426,202,202,True,True
ABCF3,0.6551724137931034,174,174,True,True
ABCG1,0.24242424242424243,66,66,True,True
ABHD10,0.11711711711711711,111,111,True,True
ABHD11,0.26146788990825687,218,218,True,True
ABHD12,0.47619047619047616,147,147,True,True
ABHD14B,0.06521739130434782,46,46,True,True
ABHD16A,0.29,100,100,True,True
ABHD17B,0.13559322033898305,59,59,True,True
ABHD4,0.2391304347826087,92,92,True,True
ABHD5,0.19148936170212766,47,47,True,True
ABHD6,0.07142857142857142,42,42,True,True
ABI1,0.26436781609195403,87,87,True,True
ABI2,0.042105263157894736,95,95,True,True
ABI3,0.08403361344537816,119,119,True,True
ABI3BP,0.04424778761061947,113,113,True,True
ABL1,0.22807017543859648,57,57,True,True
ABL2,0.4021164021164021,189,189,True,True
ABLIM1,0.03278688524590164,61,61,True,True
ABLIM2,0.017543859649122806,57,57,True,True
ABLIM3,0.12396694214876033,121,121,True,True
ABR,0.16279069767441862,43,43,True,True
ABRACL,0.4897959183673469,49,49,True,True
ACAA1,0.08888888888888889,45,45,True,True
ACAA2,0.10909090909090909,55,55,True,True
ACACA,0.6111111111111112,108,108,True,True
ACAD10,0.27,100,100,True,True
ACAD11,0.1732283464566929,127,127,True,True
ACAD8,0.17647058823529413,68,68,True,True
ACAD9,0.2786885245901639,122,122,True,True
ACADL,0.011627906976744186,86,86,True,True
ACADM,0.05,60,60,True,True
ACADS,0.052083333333333336,96,96,True,True
ACADSB,0.07936507936507936,63,63,True,True
ACADVL,0.25,44,44,True,True
ACAN,0.17391304347826086,69,69,True,True
ACAP1,0.23255813953488372,43,43,True,True
ACAP2,0.3614457831325301,166,166,True,True
ACAT1,0.06944444444444445,72,72,True,True
ACAT2,0.1956521739130435,46,46,True,True
ACBD3,0.819672131147541,183,183,True,True
ACBD5,0.5681818181818182,88,88,True,True
ACE,0.0,123,123,True,True
ACIN1,0.8372093023255814,86,86,True,True
ACLY,0.5363636363636364,110,110,True,True
ACO1,0.2,70,70,True,True
ACO2,0.18333333333333332,60,60,True,True
ACOT1,0.047619047619047616,84,84,True,True
ACOT11,0.2647058823529412,68,68,True,True
ACOT13,0.1595744680851064,94,94,True,True
ACOT7,0.4603174603174603,63,63,True,True
ACOT8,0.4489795918367347,147,147,True,True
ACOX1,0.05785123966942149,121,121,True,True
ACOX2,0.023809523809523808,42,42,True,True
ACOX3,0.21428571428571427,56,56,True,True
ACP1,0.15315315315315314,111,111,True,True
ACP2,0.203125,64,64,True,True
ACP5,0.023809523809523808,84,84,True,True
ACP6,0.211340206185567,194,194,True,True
ACPP,0.2890625,128,128,True,True
ACSF2,0.056910569105691054,123,123,True,True
ACSF3,0.17721518987341772,79,79,True,True
ACSL1,0.14,50,50,True,True
ACSL3,0.725,80,80,True,True
ACSL5,0.23333333333333334,60,60,True,True
ACSS1,0.1506849315068493,146,146,True,True
ACSS2,0.14634146341463414,164,164,True,True
ACSS3,0.10377358490566038,106,106,True,True
ACTA1,0.08241758241758242,182,182,True,True
ACTB,0.24778761061946902,226,226,True,True
ACTBL2,0.03614457831325301,83,83,True,True
ACTG1,0.3652173913043478,115,115,True,True
ACTL6A,0.8555555555555555,180,180,True,True
ACTN1,0.07792207792207792,77,77,True,True
ACTN4,0.19083969465648856,131,131,True,True
ACTR10,0.03333333333333333,90,90,True,True
ACTR1A,0.1016949152542373,59,59,True,True
ACTR1B,0.10810810810810811,111,111,True,True
ACTR2,0.19672131147540983,122,122,True,True
ACTR3,0.27522935779816515,109,109,True,True
ACTR3B,0.135678391959799,199,199,True,True
ACTR5,0.25170068027210885,147,147,True,True
ACTR6,0.43137254901960786,102,102,True,True
ACTR8,0.5121951219512195,41,41,True,True
ACVR1,0.4807692307692308,104,104,True,True
ACYP1,0.225,80,80,True,True
ACYP2,0.08403361344537816,119,119,True,True
ADA,0.49324324324324326,148,148,True,True
ADAL,0.23529411764705882,51,51,True,True
ADAM10,0.09615384615384616,52,52,True,True
ADAM15,0.41708542713567837,199,199,True,True
ADAM17,0.6428571428571429,112,112,True,True
ADAM9,0.8666666666666667,120,120,True,True
ADAMTS7,0.6612903225806451,62,62,True,True
ADAMTSL2,0.09615384615384616,52,52,True,True
ADAMTSL4,0.09090909090909091,198,198,True,True
ADAP1,0.17567567567567569,222,222,True,True
ADAP2,0.16129032258064516,93,93,True,True
ADAR,0.9591836734693877,196,196,True,True
ADARB1,0.0,62,62,True,True
ADCK1,0.1282051282051282,78,78,True,True
ADD1,0.03571428571428571,56,56,True,True
ADD2,0.058823529411764705,119,119,True,True
ADD3,0.017543859649122806,57,57,True,True
ADH1B,0.02127659574468085,47,47,True,True
ADH5,0.0,47,47,True,True
ADI1,0.7,110,110,True,True
ADIPOQ,0.03508771929824561,171,171,True,True
ADIRF,0.03333333333333333,60,60,True,True
ADK,0.4117647058823529,68,68,True,True
ADNP,0.8431372549019608,153,153,True,True
ADO,0.26865671641791045,67,67,True,True
ADPGK,0.38333333333333336,60,60,True,True
ADPRH,0.06666666666666667,120,120,True,True
ADPRHL2,0.6486486486486487,74,74,True,True
ADRM1,0.7763157894736842,152,152,True,True
ADSL,0.6101694915254238,59,59,True,True
ADSS,0.7606382978723404,188,188,True,True
ADSSL1,0.5714285714285714,84,84,True,True
AEBP1,0.2681818181818182,220,220,True,True
AFAP1,0.65,60,60,True,True
AFAP1L2,0.18032786885245902,61,61,True,True
AFF1,0.41818181818181815,55,55,True,True
AFF4,0.8073394495412844,109,109,True,True
AFG3L2,0.42424242424242425,99,99,True,True
