gene,observed_transmissibility,predicted_transmissibility_oof,n_amplified_cases,predicted_percentile,observed_percentile,residual,predicted_rank
NOP14,0.8103,0.9899,58,1.0,0.9181,-0.1796,1
HSP90B1,0.7723,0.9889,101,0.9999,0.8888,-0.2166,2
PWP2,0.873,0.9729,63,0.9997,0.9643,-0.0999,3
DDX18,0.9533,0.9513,107,0.9996,0.9954,0.002,4
LSG1,0.7798,0.9495,168,0.9994,0.8946,-0.1698,5
NOC3L,0.8167,0.9459,60,0.9993,0.9228,-0.1292,6
TSR1,0.9318,0.9427,44,0.9991,0.9889,-0.0109,7
GNL2,0.9753,0.9413,81,0.999,0.9991,0.034,8
NOP2,0.9291,0.9356,141,0.9988,0.9886,-0.0065,9
WDR12,0.8632,0.9324,95,0.9987,0.9573,-0.0693,10
DDX21,0.9559,0.9282,68,0.9986,0.9958,0.0277,11
CEBPZ,0.9478,0.9147,115,0.9984,0.9938,0.0332,12
CENPC,0.6129,0.9139,62,0.9983,0.7521,-0.301,13
NOB1,0.7684,0.9051,95,0.9981,0.8849,-0.1367,14
DDX10,0.8056,0.9047,72,0.998,0.9121,-0.0992,15
ESF1,0.9338,0.8982,136,0.9978,0.9899,0.0356,16
RIOK2,0.8118,0.8943,85,0.9977,0.9191,-0.0825,17
UTP18,0.9669,0.888,121,0.9975,0.9983,0.079,18
RPF2,0.6304,0.8871,46,0.9974,0.7678,-0.2566,19
BRD4,0.6452,0.8825,93,0.9973,0.7823,-0.2374,20
WDR3,0.8769,0.8819,65,0.9971,0.9666,-0.005,21
RSL1D1,0.8241,0.8818,108,0.997,0.9287,-0.0577,22
MCM4,0.9206,0.8793,126,0.9968,0.9857,0.0413,23
BYSL,0.8182,0.8786,110,0.9967,0.924,-0.0604,24
MPHOSPH10,0.9167,0.8776,120,0.9965,0.984,0.039,25
GNL3,0.907,0.8768,43,0.9964,0.9811,0.0302,26
KPNB1,0.7568,0.8761,111,0.9962,0.8758,-0.1193,27
PCF11,0.8065,0.8743,93,0.9961,0.9135,-0.0679,28
EIF3D,0.6607,0.8721,56,0.996,0.7963,-0.2114,29
