feature,group,mean_abs_shap,shap_value_corr
dep_frac_dependent,G1,0.06753185,0.9125968251236825
n_tissues_expressed,G8,0.027611373,0.5253729552746529
gravy,G3,0.026560111,-0.8212224928015972
degree,G9,0.01965747,0.83255978814007
vsl2_disorder,G3,0.019123856,0.6856101259185537
gc_content,G5,0.017151162,-0.8584460201598114
isoelectric_point,G3,0.014095721,0.32936564694985493
tau,G8,0.013178517,0.041769383405863704
dn_ds,G6,0.012459018,0.14461530102404146
weighted_degree,G9,0.012178829,-0.17583398900316538
gnomad_LOEUF,G1,0.012156052,-0.6826920945477241
n_isoforms,G5,0.011120519,-0.7136147953861847
codon_optimality,G5,0.009928169,-0.47940965991275053
psipred_strand,G3,0.009607163,-0.18913629540001095
dep_mean_effect,G1,0.009516795,-0.338021247330305
mol_weight,G3,0.009456412,0.3371400372781711
aggregation_propensity,G3,0.009287486,0.4811878237617732
tm_domain_count,G3,0.008934584,0.6469526929244703
utr3_length,G5,0.008817126,-0.4409100224837834
betweenness,G9,0.008791885,-0.41646224268480997
asaquick_buried,G3,0.0087202005,0.42071602815364845
length,G3,0.00845408,0.32004830724234484
psipred_coil,G3,0.008352821,0.07279097449038839
utr5_length,G5,0.008248903,-0.24305752092253524
gnomad_mis_z,G1,0.007921898,0.2709258506710585
gnomad_pLI,G1,0.007591759,0.1905517523998061
psipred_helix,G3,0.0073298295,-0.22903891793258088
transcript_length,G5,0.0069942055,-0.4279352841602206
is_enzyme,G7,0.0066451444,0.8612015637054201
complex_size,G2,0.0055910726,-0.13629994199112225
gene_age_proxy,G6,0.0050549987,0.5454086884763165
signal_peptide,G3,0.0046752663,0.772103861684612
gomf_structural_molecule_activity,G7,0.0040070284,-0.8913534286230602
gomf_binding,G7,0.003279285,0.7032350845022576
gomf_catalytic_activity,G7,0.0026902908,0.8441756972678587
is_kinase,G7,0.0024354155,-0.7924339723281294
gomf_other_molecular_function,G7,0.0012550529,-0.8448050620055066
gomf_transporter_activity,G7,0.0008746682,-0.8471374246870846
gomf_molecular_function_regulator,G7,0.0007711768,-0.1090294218579194
is_tf,G7,0.00070920825,0.8206724833049095
gomf_molecular_transducer_activity,G7,0.0005164755,0.7289719962565395
in_complex,G2,0.00037070035,0.45552965913838434
is_receptor,G7,0.00014357369,-0.6058704876268841
gomf_transcription_regulator_activity,G7,0.00012519506,0.7999809028252707
n_complexes,G2,2.3677876e-05,-0.06972578989588823
phylop_mean,G6,0.0,
has_complex,G2,0.0,
