analysis,network,cohort,variant,delta_vs_A,z,p_value,p_display,coverage
permutation_null_10k,STRING700,ALL,B_stack,0.0567,182.0,9.999000099990002e-05,p<1e-4,
permutation_null_10k,STRING700,ALL,C_swap,0.0375,88.8,9.999000099990002e-05,p<1e-4,
permutation_null_10k,STRING700,ALL,Cprime_matched,0.0035,11.8,9.999000099990002e-05,p<1e-4,
permutation_null_10k,STRING700,3Q,B_stack,0.0486,35.8,9.999000099990002e-05,p<1e-4,
permutation_null_10k,STRING700,3Q,C_swap,0.0149,8.4,9.999000099990002e-05,p<1e-4,
permutation_null_10k,STRING700,3Q,Cprime_matched,-0.0145,-10.8,1.0,p=1.0000,
network_variant_robustness,STRING700,ALL,B_stack,0.0567,,,,0.912
network_variant_robustness,STRING700,ALL,C_swap,0.0375,,,,0.912
network_variant_robustness,STRING700,ALL,Cprime_matched,0.0035,,,,0.912
network_variant_robustness,STRING700,3Q,B_stack,0.0486,,,,0.9
network_variant_robustness,STRING700,3Q,C_swap,0.0149,,,,0.9
network_variant_robustness,STRING700,3Q,Cprime_matched,-0.0145,,,,0.9
network_variant_robustness,STRING900,ALL,B_stack,0.0511,,,,0.77
network_variant_robustness,STRING900,ALL,C_swap,0.0304,,,,0.77
network_variant_robustness,STRING900,ALL,Cprime_matched,0.0022,,,,0.77
network_variant_robustness,STRING900,3Q,B_stack,0.0421,,,,0.801
network_variant_robustness,STRING900,3Q,C_swap,0.0406,,,,0.801
network_variant_robustness,STRING900,3Q,Cprime_matched,-0.0279,,,,0.801
network_variant_robustness,OmniPath,ALL,B_stack,0.026,,,,0.43
network_variant_robustness,OmniPath,ALL,C_swap,-0.0184,,,,0.43
network_variant_robustness,OmniPath,ALL,Cprime_matched,-0.0375,,,,0.43
network_variant_robustness,OmniPath,3Q,B_stack,0.0167,,,,0.462
network_variant_robustness,OmniPath,3Q,C_swap,-0.0329,,,,0.462
network_variant_robustness,OmniPath,3Q,Cprime_matched,-0.0762,,,,0.462
