number,claimed,source_value,source_artifact,tol,pass
ALL lift min (PDA) 1.50,1.5,1.5023,all_per_tumour_aupr.csv,0.01,True
ALL lift max (LSCC) 1.71,1.71,1.7116,all_per_tumour_aupr.csv,0.01,True
ALL aupr 0.6465,0.6465,0.6465,v2_all_oof_proba.csv.gz (dedup avg_precision),1e-09,True
ALL base 0.3983,0.3983,0.3983,v2_all_oof_proba.csv.gz (dedup avg_precision),1e-09,True
3Q aupr 0.7515,0.7515,0.7515,v2_3q_oof_proba.csv.gz (dedup avg_precision),1e-09,True
3Q base 0.4191,0.4191,0.4191,v2_3q_oof_proba.csv.gz (dedup avg_precision),1e-09,True
transfer mean 0.840,0.84,0.8405,transfer_stability.csv,0.001,True
transfer min 0.782,0.782,0.782,transfer_stability.csv,0.002,True
transfer max 0.901,0.901,0.9005,transfer_stability.csv,0.002,True
median ratio 3.6,3.6,3.5657,transfer_stability.csv,0.05,True
stable count 990,990.0,990.0,transfer_stability.csv,0.0,True
stable pct 14.7,14.7,14.7431,transfer_stability.csv,0.1,True
ctx tail 633,633.0,633.0,transfer_stability.csv (is_context_dependent flag),2.0,True
ctx tail pct 9.4,9.4,9.4,transfer_stability.csv (is_context_dependent flag),0.2,True
Kendall W 0.867,0.867,0.8671,transfer_stability.csv,0.002,True
LGO 0.547,0.547,0.5474,positional_control.csv,0.001,True
LGO R2 0.322,0.322,0.322,positional_control.csv,0.001,True
LCAO 0.5462,0.5462,0.5462,positional_control.csv,0.001,True
LGO 0.5474,0.5474,0.5474,positional_control.csv,0.001,True
excl-G8 0.518,0.518,0.518,model_performance.csv,0.001,True
SHAP biophysics 31%,31.0,31.3057,transmissibility_shap.csv,1.0,True
SHAP dosage 24%,24.0,24.3562,transmissibility_shap.csv,1.0,True
SHAP mRNA 15%,15.0,14.4809,transmissibility_shap.csv,1.0,True
SHAP evolution 4%,4.0,4.0735,transmissibility_shap.csv,1.0,True
SHAP complex 1%,1.0,1.3921,transmissibility_shap.csv,1.0,True
essentiality -0.345,-0.345,-0.3448,label+feature_table,0.002,True
essentiality +0.375,0.375,0.3749,label+feature_table,0.002,True
network ALL B +0.057,0.057,0.0567,head_to_head.csv,0.001,True
network 3Q B +0.049,0.049,0.0486,head_to_head.csv,0.001,True
network ALL C' +0.004,0.004,0.0035,head_to_head.csv,0.001,True
network 3Q C' -0.015,-0.015,-0.0145,head_to_head.csv,0.001,True
ADC accuracy 0.553,0.553,0.553,transmissibility_adc_crossref.csv,0.001,True
TFRC pct 0.78,0.78,0.7801,consolidated_adc_all_axes.csv,0.01,True
TFRC obs 0.74,0.74,0.7436,consolidated_adc_all_axes.csv,0.01,True
TFRC dep -0.94,-0.94,-0.9401,consolidated_adc_all_axes.csv,0.01,True
ITGB5 pct 0.71,0.71,0.7089,consolidated_adc_all_axes.csv,0.01,True
ITGB5 ratio 6.5,6.5,6.5003,consolidated_adc_all_axes.csv,0.01,True
AP2M1 pct 0.68,0.68,0.6753,consolidated_adc_all_axes.csv,0.01,True
AP2M1 obs 0.10,0.1,0.1032,consolidated_adc_all_axes.csv,0.01,True
