gene,transmissibility,n_amplified_cases,gnomad_LOEUF,gnomad_pLI,gnomad_mis_z,dep_mean_effect,dep_frac_dependent,in_complex,n_complexes,complex_size,has_complex,length,mol_weight,isoelectric_point,gravy,aggregation_propensity,tm_domain_count,signal_peptide,vsl2_disorder,psipred_helix,psipred_strand,psipred_coil,asaquick_buried,transcript_length,gc_content,n_isoforms,utr5_length,utr3_length,codon_optimality,dn_ds,phylop_mean,gene_age_proxy,is_tf,is_kinase,is_receptor,is_enzyme,go_mf_category,n_tissues_expressed,tau,degree,weighted_degree,betweenness
A1BG,0.020202020202020204,99,1.208,4.9917e-09,-0.08613,0.0099355016318005,0.0008278145695364,False,0,,0,495,54254,5.5609224319458,-0.2165656565656565,3.771428571428572,0,True,0.053,0.156,0.323,0.521,0.354,3382.0,65.7258,9.0,55.0,1839.0,81.25,0.44327,,3.0,False,False,False,False,molecular_transducer_activity,52.0,0.9888666002159372,8,6.774,3.922734145758686e-05
A2M,0.014705882352941176,136,0.544,4.5229e-11,1.8713,0.0012734323695053,0.0,True,1,1.0,1,1474,163291,6.027684211730956,-0.1950474898236092,3.914285714285714,0,True,0.028,0.236,0.3,0.464,0.503,4610.0,49.2881,59.0,70.0,115.0,53.8983,0.245022,,4.0,False,False,False,False,molecular_function_regulator,54.0,0.9116836651692036,47,40.436000000000014,0.0003044308830971
AAAS,0.6846846846846847,111,0.988,2.4356e-13,-0.36262,-0.3194050767984782,0.1423841059602649,True,1,15.0,1,546,59574,7.260180854797364,-0.0840659340659341,2.5714285714285716,0,False,0.062,0.201,0.236,0.563,0.423,1815.0,57.404,33.0,145.0,29.0,58.8665,0.057774,,5.0,False,False,False,False,,54.0,0.6151663340544962,30,28.117000000000004,0.001131974423632
AACS,0.5824175824175825,91,1.088,9.1275e-17,0.20029,0.0046867536958405,0.0024834437086092,False,0,,0,672,75144,5.858815574645996,-0.1502976190476191,2.871428571428571,0,False,0.019,0.382,0.189,0.429,0.499,3256.0,55.6216,46.0,150.0,1087.0,72.6597,0.070155,,4.0,False,False,False,True,catalytic_activity,54.0,0.7623271438417062,11,9.81,6.611658496490418e-05
AAGAB,0.7457627118644068,59,1.037,3.8664e-07,-0.87738,0.0348342161662381,0.0066225165562913,False,0,,0,315,34594,4.495248222351075,-0.2714285714285714,2.5142857142857147,0,False,0.121,0.365,0.162,0.473,0.333,3132.0,45.2532,26.0,30.0,2154.0,40.1899,0.100524,,4.0,False,False,False,False,,54.0,0.4617151131475032,4,3.213,0.0001304890400038
AAK1,0.2066115702479339,121,0.129,1.0,2.612,-0.1876187408287224,0.0149006622516556,False,0,,0,961,103885,6.158641242980956,-0.5196670135275755,3.442857142857143,0,False,0.543,0.311,0.063,0.626,0.281,21157.0,52.183,14.0,399.0,17872.0,50.6237,0.118017,,5.0,False,True,False,True,catalytic_activity,54.0,0.7797461324411646,16,13.187000000000005,1.0532757648981225e-06
AAMDC,0.09473684210526316,95,1.838,2.2702e-06,-0.12731,-0.0391058969730114,0.0016556291390728,False,0,,0,122,13332,8.582434272766115,-0.3959016393442622,1.7285714285714289,0,False,0.041,0.328,0.197,0.475,0.189,522.0,50.4065,67.0,116.0,37.0,49.5935,0.139775,,4.0,False,False,False,False,,53.0,0.6642985640052176,0,0.0,0.0
AAMP,0.6265060240963856,83,0.411,0.76172,1.7512,-0.925373563404822,0.9238410596026492,False,0,,0,434,46751,4.288809013366699,-0.2414746543778801,2.300000000000001,0,False,0.207,0.12,0.371,0.509,0.431,1760.0,58.5441,43.0,51.0,404.0,66.4368,0.0102,,6.0,False,False,False,False,binding,54.0,0.4869586243169511,5,3.908,2.1102805280633577e-05
AAR2,0.695364238410596,151,1.348,8.3057e-06,0.85528,-0.0505837695493431,0.0107615894039735,False,0,,0,384,43472,5.659822273254394,-0.1322916666666667,3.0999999999999983,0,False,0.029,0.508,0.091,0.401,0.393,2417.0,56.7965,36.0,74.0,1188.0,73.7662,0.080479,,6.0,False,False,False,False,,54.0,0.4951706685478037,19,16.935,3.480997775917855e-05
AARS,0.7628865979381443,97,0.617,1.8242e-08,0.051852,,,False,0,,0,968,106810,5.336522102355956,-0.3042355371900826,2.7000000000000006,0,False,,,,,,3437.0,53.2164,80.0,107.0,423.0,61.4035,0.032651,,6.0,False,False,False,True,catalytic_activity,54.0,0.5999670016916999,52,45.106,0.0004350964681823
AARS2,0.5188679245283019,106,0.835,4.9777e-17,0.072469,-0.57996050547305,0.5728476821192053,False,0,,0,985,107340,5.868250846862792,-0.1636548223350253,2.6000000000000023,0,False,0.099,0.501,0.109,0.39,0.418,4798.0,61.6971,28.0,24.0,1816.0,69.0669,0.151234,,5.0,False,False,False,True,catalytic_activity,54.0,0.5278795263242592,38,32.461000000000006,4.793745558841921e-05
AARSD1,0.6728971962616822,107,1.108,4.0653e-09,0.0092816,-0.2002916147541238,0.0165562913907284,False,0,,0,412,45480,5.998639488220214,-0.3995145631067961,2.4714285714285773,0,False,0.092,0.383,0.201,0.416,0.386,1320.0,53.9144,60.0,14.0,67.0,60.5327,0.102338,,6.0,False,False,False,False,binding,54.0,0.7854716297705907,2,1.588,0.0
AASDHPPT,0.5342465753424658,73,0.717,0.033866,0.46164,-0.3778722245670446,0.298841059602649,False,0,,0,309,35776,6.351495933532715,-0.4297734627831716,2.199999999999999,0,False,0.052,0.343,0.21,0.447,0.32,2767.0,43.3333,14.0,49.0,1788.0,39.3548,0.058832,,5.0,False,False,False,True,catalytic_activity,54.0,0.6895538022283402,11,9.136,0.0002516272062394
AASS,0.09359605911330049,203,0.809,2.3101e-12,0.88222,0.0375784116734841,0.0016556291390728,False,0,,0,926,102132,6.175749778747559,-0.1273218142548596,2.8857142857142857,0,False,0.002,0.44,0.135,0.425,0.536,5825.0,44.1568,55.0,104.0,2940.0,41.4239,0.099328,,5.0,False,False,False,True,catalytic_activity,53.0,0.7963806898080074,6,5.182,5.269669007562861e-05
AATF,0.9326923076923077,104,1.065,2.5958e-12,0.30226,-0.723607735478894,0.8336092715231788,True,1,3.0,1,560,63133,4.829859352111816,-0.9114285714285716,2.614285714285714,0,False,0.382,0.466,0.043,0.491,0.295,2141.0,50.208,9.0,251.0,207.0,52.0499,,,0.0,False,False,False,False,molecular_function_regulator,54.0,0.6132898220837513,115,103.44400000000006,0.0001932132777123
ABAT,0.14814814814814814,108,0.567,0.0063216,0.57296,-0.019268950523027,0.0,True,1,1.0,1,500,56439,8.17222194671631,-0.2652,2.6285714285714334,0,False,0.002,0.452,0.132,0.416,0.462,4779.0,54.7572,24.0,136.0,3140.0,71.6567,0.074134,,6.0,False,False,False,True,catalytic_activity,53.0,0.7498732496088086,27,23.624,5.9049377709102415e-05
ABCA8,0.024793388429752067,121,1.186,1.6089999999999998e-52,-0.18814,-0.0152059130479233,0.0008278145695364,True,1,1.0,1,1621,183677,6.909939002990723,0.0523750771128932,3.614285714285715,14,False,0.051,0.515,0.121,0.364,0.606,6002.0,42.5812,44.0,340.0,796.0,44.3896,0.186915,,3.0,False,False,False,True,catalytic_activity,52.0,0.9003981174099954,0,0.0,0.0
ABCB1,0.04035874439461883,223,0.473,1.2564e-05,1.44,-0.0881539919299519,0.0041390728476821,True,1,2.0,1,1280,141479,9.055116462707517,0.033515625,3.671428571428572,12,False,0.064,0.534,0.114,0.352,0.527,5205.0,44.1062,27.0,136.0,1226.0,43.0133,,,3.0,False,False,False,True,catalytic_activity,48.0,0.9631021396262468,5,3.956,6.640919034945321e-06
ABCB10,0.4230769230769231,182,0.937,2.9084e-08,1.3514,-0.238362132806099,0.0695364238410596,False,0,,0,738,79148,9.874316215515137,0.1070460704607045,3.357142857142857,6,False,0.148,0.484,0.096,0.42,0.489,3869.0,56.2923,26.0,55.0,1597.0,57.2395,0.176442,,6.0,False,False,False,True,catalytic_activity,54.0,0.5630674209727539,3,2.4179999999999997,0.0
ABCB6,0.4691358024691358,81,0.977,8.599900000000001e-19,-0.13886,0.0066840462655068,0.0016556291390728,False,0,,0,842,93886,8.745797157287598,0.1390736342042755,3.828571428571428,11,False,0.021,0.511,0.148,0.341,0.488,2980.0,58.2839,38.0,285.0,166.0,70.344,0.124437,,6.0,False,False,False,True,catalytic_activity,54.0,0.6222502337442833,8,6.157,1.8503131832107397e-05
ABCB8,0.1782178217821782,202,1.081,1.9164e-15,0.2987,0.0723338854472309,0.0,False,0,,0,735,79989,9.2126127243042,0.1189115646258503,3.400000000000001,3,False,0.045,0.525,0.137,0.338,0.479,4656.0,63.0042,36.0,66.0,2433.0,76.6342,0.163221,,5.0,False,False,False,False,transporter_activity,54.0,0.6509938009062353,8,6.32,0.0001305038256099
ABCC1,0.6952380952380952,105,0.397,0.0011727,1.7734,0.0174726756100241,0.0008278145695364,False,0,,0,1531,171591,6.710036277770995,0.1489222730241671,3.585714285714289,17,False,0.065,0.555,0.118,0.327,0.59,6504.0,56.5057,43.0,136.0,1772.0,78.0679,0.073033,,5.0,False,False,False,True,catalytic_activity,54.0,0.6986821410229942,2,1.627,1.7141417804703563e-06
ABCC3,0.4838709677419355,124,0.896,1.2092e-26,0.62968,-0.0439123288814305,0.0008278145695364,False,0,,0,1527,169343,6.790179252624512,0.233267845448592,3.4142857142857133,17,False,0.033,0.535,0.11,0.355,0.61,5693.0,57.7661,67.0,56.0,1053.0,74.7382,0.193442,,3.0,False,False,False,True,catalytic_activity,37.0,0.928835001157122,1,0.769,0.0
ABCC4,0.19117647058823528,68,0.492,1.0674e-07,1.7016,0.132870629125039,0.0008278145695364,False,0,,0,1325,149527,8.410497093200686,0.0787169811320754,3.8714285714285706,12,False,0.041,0.59,0.097,0.313,0.512,5855.0,44.4696,33.0,137.0,1740.0,46.3047,0.070989,,5.0,False,False,False,True,catalytic_activity,43.0,0.8181334881525235,4,3.251,0.0001490435856753
ABCD3,0.29508196721311475,61,0.435,0.0078364,2.5441,-0.120584167752645,0.0182119205298013,False,0,,0,659,75476,9.412400245666507,-0.1301972685887708,3.471428571428572,4,False,0.035,0.539,0.135,0.326,0.445,3604.0,41.7677,45.0,90.0,1534.0,39.0909,0.03894,,6.0,False,False,False,True,catalytic_activity,54.0,0.6522096959003589,16,13.107,4.622943435638535e-05
ABCD4,0.26506024096385544,83,0.898,1.3364e-12,0.1693,-0.1123421230191499,0.0057947019867549,True,1,2.0,1,606,68597,6.1239126205444325,0.0513201320132012,3.4571428571428564,5,False,0.01,0.541,0.127,0.332,0.467,3035.0,56.0681,124.0,22.0,1192.0,73.9703,0.117223,,5.0,False,False,False,True,catalytic_activity,54.0,0.5083871620775419,9,7.121,3.581197682740922e-05
ABCE1,0.8333333333333334,54,0.314,0.9738,4.1012,-1.9080366995713527,0.9975165562913908,False,0,,0,599,67314,8.627562141418458,-0.1909849749582637,3.0999999999999983,0,False,0.023,0.412,0.18,0.408,0.404,3887.0,38.8889,26.0,136.0,1951.0,31.5,0.0,,6.0,False,False,False,True,catalytic_activity,54.0,0.7664707709441605,126,112.104,0.00027007389197
ABCF1,0.8421052631578947,95,0.612,1.2823e-09,2.5127,-1.0257142213779211,0.97682119205298,False,0,,0,845,95926,6.399695396423341,-0.9537278106508876,2.5571428571428214,0,False,0.467,0.484,0.127,0.389,0.343,3381.0,53.5461,7.0,112.0,731.0,63.4752,,,0.0,False,False,False,False,molecular_function_regulator,54.0,0.5157233997323608,42,36.058,3.0072177158956444e-06
ABCF2,0.7425742574257426,202,0.478,0.011301,2.4821,,,True,1,6.0,1,623,71290,6.95262508392334,-0.4990369181380418,2.428571428571437,0,False,0.161,0.512,0.104,0.384,0.396,4527.0,51.2286,29.0,85.0,2570.0,61.859,0.008561,,6.0,False,False,False,False,binding,54.0,0.6497873179066967,23,18.129999999999992,2.55226325528206e-06
ABCF3,0.6551724137931034,174,0.573,1.5114e-05,0.65355,0.0366517549837698,0.0016556291390728,False,0,,0,709,79745,5.954759788513184,-0.3857545839210155,2.471428571428569,0,False,0.148,0.518,0.137,0.345,0.388,2446.0,56.4789,54.0,9.0,307.0,67.3239,0.026753,,6.0,False,False,False,False,binding,54.0,0.6568575018422601,19,14.913,0.0
ABCG1,0.24242424242424243,66,0.461,0.11182,2.135,-0.0060450185553316,0.0,False,0,,0,678,75592,8.02420253753662,0.1626843657817109,3.17142857142857,6,False,0.038,0.572,0.087,0.341,0.507,2976.0,57.2214,21.0,123.0,852.0,77.961,0.022236,,6.0,False,False,False,True,catalytic_activity,53.0,0.7559306863469255,11,8.97,2.329862161601665e-05
ABHD10,0.11711711711711711,111,1.061,1.2865e-05,0.23316,0.0302782649562657,0.0008278145695364,False,0,,0,306,33933,8.805494880676271,-0.0091503267973856,3.1857142857142864,0,False,0.029,0.461,0.131,0.408,0.392,2604.0,46.5798,15.0,36.0,1647.0,41.3681,0.193109,,4.0,False,False,False,True,catalytic_activity,54.0,0.6224879532573105,0,0.0,0.0
ABHD11,0.26146788990825687,218,0.941,0.0029581,0.56684,-0.3802450092076881,0.2574503311258278,False,0,,0,306,33747,9.240785408020017,-0.0813725490196078,3.0714285714285707,0,False,0.149,0.492,0.102,0.406,0.378,1418.0,62.1064,29.0,32.0,465.0,75.2443,0.289437,,6.0,False,False,False,True,catalytic_activity,54.0,0.7847261744605529,0,0.0,0.0
ABHD12,0.47619047619047616,147,0.763,1.9476e-05,0.19453,0.0072594659905809,0.0016556291390728,False,0,,0,398,45097,8.868609428405762,-0.2442211055276382,3.028571428571429,1,False,0.131,0.307,0.191,0.502,0.425,1960.0,54.6366,83.0,132.0,631.0,63.4085,0.058865,,4.0,False,False,False,True,catalytic_activity,54.0,0.6203875594569879,6,4.974,0.0001455267186086
ABHD14B,0.06521739130434782,46,1.695,0.00014378,0.85202,0.0185265067809035,0.0008278145695364,False,0,,0,210,22346,5.937026023864747,0.0957142857142857,2.5428571428571423,0,False,0.014,0.243,0.186,0.571,0.281,1657.0,62.8752,17.0,113.0,911.0,73.9336,0.202228,,5.0,False,False,False,True,catalytic_activity,54.0,0.4578632054170726,0,0.0,0.0
ABHD16A,0.29,100,0.384,0.47336,2.4782,-0.1286786120868287,0.0107615894039735,False,0,,0,558,63243,8.38890018463135,-0.242652329749104,2.971428571428571,2,False,0.036,0.475,0.106,0.419,0.457,2069.0,60.1883,14.0,6.0,257.0,72.4252,,,0.0,False,False,False,True,catalytic_activity,54.0,0.6349010206897612,4,3.093,1.376993868943544e-05
ABHD17B,0.13559322033898305,59,0.65,0.25442,2.619,0.0433097290096953,0.0033112582781456,False,0,,0,288,32215,5.894851493835449,-0.1246527777777777,2.914285714285714,0,False,0.035,0.271,0.25,0.479,0.382,3065.0,41.5225,28.0,563.0,1635.0,32.1799,0.004001,,4.0,False,False,False,True,catalytic_activity,54.0,0.6668214804848956,0,0.0,0.0
ABHD4,0.2391304347826087,92,1.073,2.2197e-08,0.70149,0.0210381953097328,0.0008278145695364,False,0,,0,342,38794,7.1329751968383786,-0.3134502923976608,2.2999999999999994,0,False,0.026,0.415,0.155,0.43,0.395,3051.0,55.102,18.0,7.0,2015.0,64.1399,0.037192,,5.0,False,False,False,True,catalytic_activity,54.0,0.6472313079053154,5,3.833,0.0001305038256099
ABHD5,0.19148936170212766,47,0.982,6.4201e-07,0.47432,-0.0717097838993584,0.0,False,0,,0,349,39096,6.166200828552246,-0.2555873925501433,2.5428571428571445,0,False,0.043,0.318,0.169,0.513,0.456,5298.0,45.5238,28.0,55.0,4193.0,40.5714,0.034694,,5.0,False,False,False,True,catalytic_activity,54.0,0.79912210035099,4,3.485,6.263065187636583e-06
ABHD6,0.07142857142857142,42,0.984,2.2313e-05,0.76259,0.0847870256285479,0.0,False,0,,0,337,38331,8.666372108459473,-0.0397626112759644,2.8571428571428563,1,False,0.021,0.451,0.169,0.38,0.383,2198.0,51.3807,34.0,215.0,969.0,65.3846,0.063671,,6.0,False,False,False,True,catalytic_activity,54.0,0.680079796042847,5,4.288,0.0
ABI1,0.26436781609195403,87,0.418,0.63911,2.0949,-0.0649165577428381,0.0231788079470198,True,1,5.0,1,508,55081,6.5732816696167,-0.6222440944881891,2.5428571428571445,0,False,0.531,0.256,0.128,0.616,0.197,3515.0,46.6113,62.0,95.0,1974.0,37.1369,0.02433,,4.0,False,False,False,False,molecular_function_regulator,54.0,0.4871342259736725,38,32.873,0.0004824112256033
ABI2,0.042105263157894736,95,0.46,0.43122,2.2471,0.071210328585056,0.0008278145695364,False,0,,0,513,55663,5.817323112487793,-0.6118908382066276,2.5428571428571445,0,False,0.548,0.259,0.096,0.645,0.185,6567.0,49.4782,107.0,121.0,4817.0,40.5157,0.111949,,4.0,False,False,False,False,binding,53.0,0.5845930102097895,26,22.851000000000003,0.0002768904460347
ABI3,0.08403361344537816,119,1.04,5.0089e-05,0.39596,0.0539305205951361,0.0,True,1,1.0,1,366,39035,4.991907310485838,-0.326775956284153,1.942857142857142,0,False,0.399,0.352,0.074,0.574,0.202,1629.0,64.7593,17.0,18.0,510.0,74.9319,0.139288,,4.0,False,False,False,False,binding,51.0,0.9054475121339238,10,9.131,0.0019598671863721
ABI3BP,0.04424778761061947,113,0.558,1.0074e-08,0.82947,0.0808476314964901,0.0008278145695364,False,0,,0,1068,117895,9.461331748962404,-0.675749063670412,3.157142857142856,0,True,0.554,0.129,0.172,0.699,0.214,6737.0,46.4466,87.0,37.0,1339.0,32.9603,0.301598,,4.0,False,False,False,False,,43.0,0.8271207873108143,1,0.998,0.0
ABL1,0.22807017543859648,57,0.176,0.99998,2.5581,-0.0275809572370297,0.0115894039735099,True,1,1.0,1,1130,122873,8.841468238830569,-0.5971681415929203,2.642857142857143,0,False,0.458,0.338,0.097,0.565,0.324,5578.0,59.0333,9.0,193.0,1992.0,71.5296,0.113186,,4.0,False,True,False,True,catalytic_activity,54.0,0.6714990800290648,87,73.87800000000003,0.0029815311593826
ABL2,0.4021164021164021,189,0.58,3.6365e-07,1.6853,0.0990582381551745,0.0,True,1,2.0,1,1182,128343,8.306058311462404,-0.4984771573604061,3.0428571428571445,0,False,0.388,0.303,0.131,0.566,0.339,12217.0,52.0992,14.0,280.0,8388.0,51.6484,0.05526,,4.0,False,True,False,True,catalytic_activity,54.0,0.8082767721585801,9,8.027999999999999,3.887905443670216e-06
ABLIM1,0.03278688524590164,61,0.326,0.9301,1.6153,0.038956907488091,0.0008278145695364,False,0,,0,778,87688,8.908902168273926,-0.7160668380462725,2.27142857142857,0,False,0.371,0.24,0.138,0.622,0.307,7560.0,51.9469,16.0,75.0,5148.0,56.8678,0.038158,,5.0,False,False,False,False,binding,54.0,0.8596320377938392,3,2.7750000000000004,0.0
ABLIM2,0.017543859649122806,57,0.465,0.0045858,0.16633,0.0309037989500922,0.0008278145695364,False,0,,0,611,67812,8.29129505157471,-0.6255319148936171,2.9285714285714284,0,False,0.339,0.172,0.193,0.635,0.329,3725.0,58.3591,18.0,124.0,1663.0,72.7554,0.072063,,5.0,False,False,False,False,binding,49.0,0.9318575217663848,0,0.0,0.0
ABLIM3,0.12396694214876033,121,0.59,1.0625e-07,0.69581,0.0493759628408489,0.0,False,0,,0,683,77802,8.855522346496581,-0.7248901903367496,2.5,0,False,0.35,0.24,0.132,0.628,0.294,4439.0,55.4094,23.0,249.0,2138.0,69.4444,0.022143,,5.0,False,False,False,False,binding,53.0,0.7368073983891529,3,2.752,0.0
ABR,0.16279069767441862,43,0.361,0.62738,3.8894,-0.0124791804492881,0.0041390728476821,False,0,,0,859,97598,6.117603492736816,-0.4016298020954598,2.9714285714285813,0,False,0.144,0.42,0.143,0.437,0.393,2673.0,55.8931,31.0,32.0,172.0,79.3439,,,0.0,False,False,False,False,molecular_function_regulator,54.0,0.6590634438863618,1,0.7,0.0
ABRACL,0.4897959183673469,49,1.371,0.24171,0.40665,0.0866443047351441,0.0,False,0,,0,81,9056,5.857337760925293,-0.0333333333333333,1.9714285714285713,0,False,0.062,0.457,0.235,0.308,0.099,782.0,39.8374,47.0,137.0,399.0,32.9268,0.064773,,3.0,False,False,False,False,,53.0,0.878808112412372,0,0.0,0.0
ACAA1,0.08888888888888889,45,1.118,3.5904e-09,1.2156,0.0430379115242743,0.009933774834437,False,0,,0,424,44292,8.759657859802246,0.0040094339622641,2.757142857142855,0,False,0.047,0.446,0.111,0.443,0.446,1699.0,60.1569,67.0,92.0,332.0,68.9412,,,5.0,False,False,False,True,catalytic_activity,54.0,0.7628561758144841,61,53.79699999999998,0.0007829528181578
ACAA2,0.10909090909090909,55,1.306,3.7065e-10,-0.27145,-0.0756391597888522,0.0074503311258278,False,0,,0,397,41924,8.320950508117676,-0.008816120906801,2.6571428571428575,0,False,0.023,0.33,0.181,0.489,0.436,2926.0,46.1474,30.0,49.0,1683.0,36.4322,0.077972,,5.0,False,False,False,True,catalytic_activity,54.0,0.8045008098065222,56,49.678999999999995,0.000594388199919
ACACA,0.6111111111111112,108,0.216,1.0,7.2382,-0.3595169494189018,0.265728476821192,False,0,,0,2346,265554,5.951633644104004,-0.2456521739130434,3.0428571428571485,0,False,0.03,0.412,0.177,0.411,0.852,9962.0,47.5252,23.0,482.0,2328.0,49.7483,,,0.0,False,False,False,True,catalytic_activity,53.0,0.4665329658283276,39,34.575,0.0004524641986237
ACAD10,0.27,100,1.085,1.0177000000000001e-30,0.37046,-0.0625579624693488,0.0024834437086092,False,0,,0,1059,118834,8.331329917907716,-0.1941454202077431,2.2142857142857144,0,False,0.04,0.448,0.138,0.414,0.418,4006.0,53.6478,92.0,200.0,626.0,59.0566,,,2.0,False,False,False,True,catalytic_activity,54.0,0.5362280140909419,3,2.307,8.397408685537353e-06
ACAD11,0.1732283464566929,127,0.883,5.1833e-15,0.50836,0.0384135937988814,0.0,False,0,,0,780,87264,8.227406883239748,-0.1721794871794872,2.4857142857142867,0,False,0.015,0.383,0.209,0.408,0.459,3231.0,44.5156,44.0,58.0,830.0,41.7414,0.13993,,4.0,False,False,False,True,catalytic_activity,54.0,0.5728368718609704,7,5.938,0.0001353419753801
ACAD8,0.17647058823529413,68,1.27,5.6389e-14,0.22235,0.0493105667230426,0.0008278145695364,True,1,1.0,1,415,45070,8.121549797058105,-0.0508433734939759,2.6714285714285713,0,False,0.005,0.484,0.137,0.379,0.386,2176.0,55.6891,78.0,33.0,895.0,65.1442,0.09599,,4.0,False,False,False,True,catalytic_activity,54.0,0.6293127287671376,14,11.996000000000002,1.7365932160370403e-06
ACAD9,0.2786885245901639,122,0.814,4.5256e-08,-0.17875,-0.2543790932065917,0.1076158940397351,False,0,,0,621,68760,8.153848457336426,-0.0954911433172303,2.3714285714285728,0,False,0.0,0.523,0.122,0.355,0.428,2445.0,53.6442,71.0,72.0,507.0,65.9164,0.115906,,4.0,False,False,False,True,catalytic_activity,54.0,0.6926305047378302,41,34.470000000000006,0.0002510980486548
ACADL,0.011627906976744186,86,1.162,1.743e-12,0.85565,-0.0047506496348666,0.0033112582781456,False,0,,0,430,47656,7.68380184173584,-0.2286046511627907,3.9000000000000017,0,False,0.095,0.479,0.123,0.398,0.409,2515.0,44.0062,11.0,184.0,1038.0,36.1949,0.083349,,4.0,False,False,False,True,catalytic_activity,43.0,0.8467375112786477,29,25.09699999999999,8.426957415767413e-05
ACADM,0.05,60,1.153,2.0548e-12,0.54287,0.0032225614302962,0.0008278145695364,False,0,,0,421,46588,8.608672904968266,-0.3320665083135392,2.5142857142857133,0,False,0.007,0.418,0.171,0.411,0.43,2261.0,40.8373,118.0,79.0,916.0,27.2512,0.0519,,4.0,False,False,False,True,catalytic_activity,54.0,0.779237364647239,33,26.398000000000003,0.0008599403234383
ACADS,0.052083333333333336,96,0.95,2.8026e-06,0.58444,-0.0537073479764708,0.0016556291390728,False,0,,0,412,44297,8.125869178771975,0.0135922330097087,2.3857142857142857,0,False,0.015,0.507,0.119,0.374,0.383,1859.0,62.3083,30.0,60.0,560.0,79.9031,0.095979,,5.0,False,False,False,True,catalytic_activity,54.0,0.7890520625579198,45,40.555,0.000213355472097
ACADSB,0.07936507936507936,63,1.172,2.6565e-11,-0.069716,-0.0688469057169541,0.0049668874172185,False,0,,0,432,47485,6.5291746139526365,-0.1284722222222222,2.7142857142857144,0,False,0.014,0.461,0.116,0.423,0.412,5848.0,42.6482,23.0,24.0,4525.0,38.3372,0.119609,,5.0,False,False,False,True,catalytic_activity,53.0,0.8422064553364803,29,25.676,5.647104330845136e-05
ACADVL,0.25,44,1.05,4.2385e-15,-0.20979,-0.0342955954445106,0.0016556291390728,False,0,,0,655,70390,8.918379020690917,-0.0645801526717557,2.7571428571428567,0,False,0.139,0.515,0.085,0.4,0.485,2184.0,57.876,137.0,47.0,169.0,67.6829,0.157412,,4.0,False,False,False,True,catalytic_activity,54.0,0.6136051991320443,28,24.262,5.872498901115808e-05
ACAN,0.17391304347826086,69,0.183,1.0,0.20716,0.0094160789461579,0.0008278145695364,False,0,,0,2530,261329,4.059918403625488,-0.2677865612648221,3.0428571428571423,0,True,0.645,0.104,0.186,0.71,0.917,8960.0,57.5451,9.0,381.0,872.0,54.2624,0.226706,,4.0,False,False,False,False,structural_molecule_activity,4.0,0.9796963945724132,25,21.185,0.0005335552158172
ACAP1,0.23255813953488372,43,0.423,0.067617,2.2959,-0.0437970993281374,0.0033112582781456,True,1,2.0,1,740,81536,7.601669502258302,-0.386891891891892,2.8000000000000003,0,False,0.214,0.509,0.103,0.388,0.382,2511.0,60.1889,12.0,206.0,82.0,68.556,,,0.0,False,False,False,False,molecular_function_regulator,53.0,0.9415255130970748,3,2.4610000000000003,3.271459452165823e-06
